site_name,town,county,permit_type,activity,status,latitude,longitude,permit_regime
Cardiff Waste Management Resources Centre,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.501106674200315,-3.124841790767064,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
GP Biotec Ltd,Brecon,Powys,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.00705374930046,-3.2251923798348123,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Newport Metal Site,Newport,Gwent,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.56085274798091,-2.9875093831427124,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
Nantycaws H C I Transfer & Treatment Facility,Carmarthen,Carmarthenshire,Bespoke,,Effective,51.835703198978926,-4.216411328710771,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
RMR Recycling Ltd,Blackwood,Caerphilly,Bespoke,,Effective,51.694813760376455,-3.164638496663848,Installation
