site_name,longitude,latitude,permit_regime,town,county,permit_count
Cold Mill Effluent Treatment Plant,-3.75972786930914,51.56398604104954,Installation,Port Talbot,Neath Port Talbot,1
Cole Contractors Cardiff,-3.203325248986089,51.46802850880284,Waste,Cardiff,Cardiff,6
Coli Isaf Farm Landfill,-3.313078102736012,51.71048505333492,Waste,Merthyr Tydfil,Glamorgan,1
Coli Isaf Landfill,-3.3129451676661645,51.70989308805509,Waste,Merthyr Tydfil,Glamorgan,1
Colin Richardson Recycling Centre,-2.9620393925205093,51.62467101698355,Waste,Newport,Gwent,6
Colomendy Waste Transfer Station,-3.417552897363065,53.19549750338603,Waste,Denbigh,Denbighshire,7
Connah's Quay Power Station,-3.0741257542987217,53.22696519202441,Installation,Connah's Quay,Flintshire,3
Coomb Farm,-4.410202383961897,51.80236604946106,Waste,Carmarthen,Carmarthenshire,1
Coombe Farm,-2.775715620910441,51.63486189379289,Installation,Chepstow,Monmouthshire,1
Copart U K - Prince William Avenue,-2.9875700536853924,53.19820241558749,Waste,Chester,Flintshir,2
Cott Wrexham (Calypso) Manufacturing Site,-2.9250870824310216,53.03748075030856,Installation,Wrexham,Wrexham,1
Court House Farm,-4.945262312299014,51.922433487039136,Waste,Letterson,Pembrokeshire,1
Court Road Civic Amenity Site,-3.262507531775083,51.41053139326381,Waste,Barry,South Glamorgan,1
Cox Skip And Waste Management Ltd,-3.6837081149941766,51.5241599543676,Waste,Pyle,Bridgend,7
Crane Cross Civic Amenity & Recycling Centre,-4.726200881878525,51.70193649304027,Waste,Saundersfoot,Pembrokeshire,7
Creigiau Tyres,-3.3297615550961432,51.55966657290502,Waste,Pontypridd,R C T,6
Cribarth Quarry,-3.5335244968205024,52.16027832383852,Waste,Builth Wells,Powys,1
Croes Cwtta Landfill Site,-3.5637351921509466,51.46113998260239,Waste,St Brides Major,Bridgend,1
Croescarneinon Farm Landfill,-3.0791851853247043,51.5656920484649,Waste,Newport,Gwent,1
Croft y Lloi Poultry Unit,-2.782658075756735,51.77777811026226,Installation,Monmouth,Monmouthshire,1
